issued_year,issn,articles
2019,0924-977X,3568
2019,0925-2312,1455
2019,0925-3467,783
2019,0925-4005,1743
2019,0925-7535,471
2019,0925-8388,4919
2019,0926-6690,1005
2019,0927-0248,587
2019,0928-4931,1275
2019,0950-0618,2725
2019,0950-7051,447
2019,0952-3278,81
2019,0953-6205,323
2019,0955-2219,688
2019,0956-5663,923
2019,0956-7135,527
2019,0957-5820,457
2019,0958-6946,194
2019,0958-9465,289
2019,0959-440X,172
2019,0959-4752,106
2019,0959-6526,4109
2019,0960-1481,1542
2019,0960-8524,1658
2019,0960-8966,746
2019,0964-3397,98
2019,0964-5691,333
2019,0964-8305,206
2019,0965-1748,130
2019,0965-2299,297
2019,0966-3274,60
2019,0966-9795,263
2019,0967-070X,229
2019,1001-0742,345
2019,1004-9541,431
2019,1043-951X,138
2019,1044-5803,522
2019,1047-3203,388
2019,1050-4648,1255
2019,1051-0443,1109
2019,1053-8100,132
2019,1054-139X,599
2019,1055-3207,79
2019,1055-7903,352
2019,1059-1311,287
2019,1063-4584,1002
2019,1064-7481,468
2019,1071-9164,764
2019,1072-7515,1610
2019,1075-9964,147
2019,1076-6332,402
2019,1081-1206,815
2019,1083-8791,1173
2019,1091-8531,455
2019,1095-6433,202
2019,1125-7865,85
2019,1130-1406,42
2019,1169-8330,169
2019,1198-743X,463
2019,1278-3218,281
2019,1341-321X,213
2019,1350-6307,607
2019,1359-0294,95
2019,1359-4311,1663
2019,1359-6462,567
2019,1359-8368,1556
2019,1364-0321,710
2019,1368-8375,329
2019,1383-5742,44
2019,1385-8947,2885
2019,1386-9477,419
2019,1387-1811,669
2019,1387-3806,241
2019,1387-7003,463
2019,1388-2457,995
2019,1389-1286,323
2019,1389-9341,206
2019,1440-2440,566
2019,1443-9506,1472
2019,1464-343X,338
2019,1470-160X,943
2019,1470-2045,594
2019,1471-4892,119
2019,1471-4922,139
2019,1471-5953,192
2019,1473-3099,520
2019,1477-5131,399
2019,1499-2671,292
2019,1521-690X,88
2019,1525-5050,637
2019,1526-5900,556
2019,1544-6123,462
2019,1546-1440,424
2019,1550-4131,247
2019,1550-7289,983
2019,1551-7411,445
2019,1553-8389,411
2019,1556-0864,3066
2019,1557-5063,150
2019,1558-7673,306
2019,1567-1348,372
2019,1567-5394,185
2019,1567-5688,64
2019,1567-5769,701
2019,1568-4946,719
2019,1568-9972,172
2019,1569-1993,895
2019,1570-0232,441
2019,1574-1192,93
2019,1576-9887,102
2019,1579-2129,245
2019,1627-4830,76
2019,1674-2001,150
2019,1699-258X,201
2019,1743-9191,360
2019,1751-4851,71
2019,1751-6161,451
2019,1872-2032,87
2019,1872-2067,189
2019,1877-0657,140
2019,1878-450X,57
2019,1881-8366,68
2019,1883-1958,116
2019,1936-6574,125
2019,1936-8798,752
2019,2050-0521,103
2019,2152-2650,1254
2019,2173-5727,135
2019,2210-9706,33
2019,2211-0348,443
2019,2211-6958,64
2019,2211-7458,58
2019,2212-1099,467
2019,2212-2672,706
2019,2212-9820,243
2019,2213-1388,153
2019,2213-3437,773
2019,2213-8587,237
2019,2214-7144,318
2019,2214-7853,3345
2019,2215-0366,343
2019,2253-8089,92
2019,2352-409X,451
2019,2352-801X,131
2019,2387-0206,324
2019,2405-4690,126
2019,2451-9022,220
2019,2451-9049,161
2019,2452-3100,88
2019,2468-1229,275
2019,2468-7189,166
2019,2468-8231,363
2019,1365-1609,214
2019,0098-2997,64
2019,0143-7496,169
2019,0010-938X,476
2019,0048-9697,6403
2019,0166-4328,707
2019,0378-7753,1303
2019,0032-5910,1003
2019,0044-8486,982
2019,0041-008X,340
2019,0168-1702,245
2019,0278-6915,720
2019,0967-0637,145
2019,1541-4612,149
2019,0167-5273,1193
2019,0197-4572,183
2019,0167-8140,3055
2019,0268-4012,183
2019,0038-1101,203
2019,1875-9637,50
2019,0301-0104,332
2019,0031-9384,404
2019,1359-6454,748
2019,0001-4575,385
2019,0001-6519,84
2019,0002-9343,595
2019,0002-9378,1962
2019,0003-4975,1213
2019,0003-6870,218
2019,0005-7894,137
2019,0006-2952,339
2019,0006-3207,423
2019,0006-3223,1406
2019,0006-3495,3357
2019,0007-4551,194
2019,0008-6223,1221
2019,0009-8981,1979
2019,0009-9260,443
2019,0010-0277,260
2019,0010-8545,300
2019,0010-9452,373
2019,0012-3692,2774
2019,0013-4686,2392
2019,0013-7952,323
2019,0015-0282,1691
2019,0016-0032,623
2019,0016-2361,2186
2019,0016-7061,672
2019,0016-7185,325
2019,0018-506X,143
2019,0020-7403,619
2019,0021-9150,1237
2019,0021-9290,509
2019,0021-9517,549
2019,0021-9614,420
2019,0022-0396,542
2019,0022-0531,121
2019,0022-0736,331
2019,0022-1031,138
2019,0022-1139,191
2019,0022-1759,148
2019,0022-1910,129
2019,0022-1996,86
2019,0022-2313,887
2019,0022-247X,960
2019,0022-2828,251
2019,0022-2852,118
2019,0022-2860,1482
2019,0022-3468,693
2019,0022-3697,480
2019,0022-4073,427
2019,0022-4804,681
2019,0022-5193,396
2019,0022-5223,2038
2019,0024-3795,452
2019,0024-4937,402
2019,0025-7125,125
2019,0025-7753,464
2019,0026-265X,914
2019,0026-2862,94
2019,0030-3992,755
2019,0030-4018,1019
2019,0031-0182,497
2019,0033-3506,282
2019,0033-8389,118
2019,0034-4257,496
2019,0034-9356,104
2019,0038-092X,1110
2019,0038-1098,220
2019,0039-9140,1257
2019,0040-1625,457
2019,0040-6090,677
2019,0041-0101,784
2019,0041-1345,758
2019,0041-624X,233
2019,0042-207X,701
2019,0042-6822,283
2019,0043-1354,973
2019,0045-2068,818
2019,0045-6535,2428
2019,0045-7949,140
2019,0047-2484,148
2019,0085-2538,496
2019,0090-4295,821
2019,0091-7435,366
2019,0095-8956,107
2019,0096-3003,912
2019,0098-1354,380
2019,0140-6736,2034
2019,0141-0296,1359
2019,0141-3910,326
2019,0141-6359,227
2019,0141-8130,3107
2019,0141-9331,154
2019,0142-0615,642
2019,0143-6228,132
2019,0143-8166,245
2019,0143-974X,479
2019,0144-8617,1256
2019,0147-619X,48
2019,0147-6513,1346
2019,0149-1970,216
2019,0149-7634,357
2019,0150-9861,211
2019,0151-9638,790
2019,0165-0114,327
2019,0165-0270,314
2019,0165-0378,47
2019,0165-1781,768
2019,0165-2370,230
2019,0165-2427,112
2019,0165-4896,58
2019,0165-7836,303
2019,0166-0934,192
2019,0167-1987,344
2019,0167-2738,313
2019,0167-4048,217
2019,0167-5877,222
2019,0167-7322,2053
2019,0167-739X,943
2019,0168-0072,73
2019,0168-1605,361
2019,0168-1923,395
2019,0168-3659,518
2019,0168-9274,234
2019,0168-9452,322
2019,0168-9525,117
2019,0169-1317,400
2019,0169-1368,464
2019,0169-2046,252
2019,0169-4332,3778
2019,0169-5002,595
2019,0169-8141,138
2019,0181-5512,334
2019,0193-3973,93
2019,0196-8904,1285
2019,0198-9715,131
2019,0210-5691,211
2019,0213-005X,236
2019,0223-5234,1050
2019,0254-0584,1037
2019,0257-8972,1297
2019,0263-2241,1180
2019,0263-8223,1307
2019,0263-8231,596
