issued_year,issn,articles
2016,1063-4584,1209
2016,1365-182X,2272
2016,1556-0864,901
2016,1877-0657,407
2016,2211-5684,206
2016,0960-9822,856
2016,0735-1097,5459
2016,1742-7061,563
2016,1550-4131,261
2016,0012-1606,359
2016,1074-7613,279
2016,0896-6273,541
2016,1097-2765,413
2016,0925-8388,3328
2016,0022-5223,1139
2016,0002-9440,320
2016,0022-1236,257
2016,0022-314X,327
2016,2157-1716,13
2016,0890-5401,69
2016,1747-938X,27
2016,0001-2998,58
2016,0002-9149,902
2016,0005-1098,449
2016,0006-291X,1763
2016,0008-6223,1129
2016,0009-2797,355
2016,0009-3084,115
2016,0009-739X,171
2016,0012-3692,2548
2016,0013-4686,2617
2016,0014-2999,596
2016,0016-5085,4857
2016,0016-7061,418
2016,0019-0578,240
2016,0019-1035,450
2016,0021-9290,587
2016,0021-9673,1042
2016,0022-0965,226
2016,0022-1139,207
2016,0022-2828,246
2016,0022-2860,961
2016,0022-328X,417
2016,0022-4804,540
2016,0022-5096,255
2016,0022-5193,474
2016,0025-6196,323
2016,0025-7125,129
2016,0026-0495,190
2016,0029-8018,595
2016,0030-4018,860
2016,0030-4026,1900
2016,0031-0182,508
2016,0032-5910,697
2016,0033-3182,96
2016,0033-3506,334
2016,0038-1098,308
2016,0040-6090,810
2016,0041-1345,741
2016,0045-6535,1671
2016,0045-7825,386
2016,0048-9697,2520
2016,0075-9511,53
2016,0090-8258,982
2016,0094-5765,472
2016,0095-4470,52
2016,0099-1767,189
2016,0140-6736,2192
2016,0141-1136,141
2016,0147-6513,472
2016,0147-9563,145
2016,0149-2918,350
2016,0163-7258,131
2016,0165-1781,771
2016,0165-5876,441
2016,0166-3615,102
2016,0166-8641,330
2016,0167-5273,2689
2016,0167-5877,253
2016,0167-6636,181
2016,0167-6911,169
2016,0167-7799,119
2016,0168-1591,225
2016,0168-8227,931
2016,0168-9002,1220
2016,0169-2607,289
2016,0169-4332,2166
2016,0169-8095,319
2016,0169-8141,117
2016,0176-1617,213
2016,0190-9622,1859
2016,0191-8869,1070
2016,0195-6663,679
2016,0197-0186,165
2016,0197-4572,127
2016,0248-8663,890
2016,0257-8972,938
2016,0263-8223,923
2016,0263-8762,373
2016,0267-7261,251
2016,0268-005X,519
2016,0271-5309,51
2016,0272-8842,2572
2016,0277-9536,543
2016,0300-9440,317
2016,0301-0511,186
2016,0301-4215,570
2016,0304-3800,338
2016,0304-3894,844
2016,0304-4203,75
2016,0304-8853,1199
2016,0305-4179,319
