oa_sponsor_name,oa_sponsor_cleaned,Institutional Level (international/national/individual authors),Sector,Country,Primary research focus
Académie des Sciences,Académie des Sciences,national,private non-profit,France,Broad
Acad�mie des Sciences,Académie des Sciences,national,private non-profit,France,Broad
American Society for Investigative Pathology and the Association for Molecular Pathology,American Society for Investigative Pathology and the Association for Molecular Pathology,national,private non-profit,United States,Health Science
Arthritis Research UK,Arthritis Research UK,national,private non-profit,United Kingdom,Health Science
Arts and Humanities Research Council,Arts and Humanities Research Council,national,government,United Kingdom,SSH
"Association of Surgeons in Training - 35 - 43 Lincoln's Inn Fields, London, WC2A 3PE",The Association of Surgeons in Training (ASiT),international,private non-profit,"United Kingdom, Ireland",Health Science
Australian and New Zealand Institutes,Australian and New Zealand Institutes,international,higher education,Australia and New Zealand,Broad
Austrian Science Fund (FWF),Austrian Science Fund (FWF),national,government,Austria,Broad
AZTI-Tecnalia,AZTI-Tecnalia,national,private non-profit,Spain,Life Sciences
Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,national,private non-profit,United States,Health Science
Biotechnology and Biological Sciences Research Council,Biotechnology and Biological Sciences Research Council,national,government,United Kingdom,Life Sciences
Bloodwise,Leukaemia & Lymphoma Research,national,private non-profit,United Kingdom,Health Science
BMBF - German Federal Ministry of Education and Research,BMBF - German Federal Ministry of Education and Research,national,government,Germany,Broad
"Boehringer Ingelheim Pharmaceuticals, Inc.","Boehringer Ingelheim Pharmaceuticals, Inc.",international,other,Multinational,Health Science
Brazilian Government,Brazilian Government,national,government,Brazil,Broad
Breast Cancer Campaign,Breast Cancer Now,national,private non-profit,United Kingdom,Health Science
Breast Cancer Now,Breast Cancer Now,national,private non-profit,United Kingdom,Health Science
British Heart Foundation,British Heart Foundation,national,private non-profit,United Kingdom,Health Science
Cancer Research UK,Cancer Research UK,national,private non-profit,United Kingdom,Health Science
CERN,CERN,international,government,Multinational,Physical Sciences
Chief Scientist Office,Chief Scientist Office,national,government,United Kingdom,Health Science
Department for International Development,Department for International Development,national,government,United Kingdom,SSH
Department of Health UK,Department of Health UK,national,government,United Kingdom,Health Science
Deutsches Elektronen-Synchrotron,Deutsches Elektronen-Synchrotron,national,higher education,Germany,Physical Sciences
DSM Nutritional Products,DSM Nutritional Products,international,other,Multinational,Health Science
Dunhill Medical Trust,Dunhill Medical Trust,national,private non-profit,United Kingdom,Health Science
Dutch Universities,Dutch Universities,national,higher education,The Netherlands,Broad
ECDC - European Centre for Disease Control,ECDC - European Centre for Disease Control,international,government,EU,Health Science
Economic and Social Research Council,Economic and Social Research Council,national,government,United Kingdom,SSH
Engineering and Physical Sciences Research Council,Engineering and Physical Sciences Research Council,national,government,United Kingdom,Physical Sciences
Ethos S.r.l.,Ethos S.r.l.,national,other,Italy,Health Science
European Molecular Biology Laboratory,European Molecular Biology Laboratory,international,government,Multinational,Life Sciences
European Observatory on Health Systems and Policies,European Observatory on Health Systems and Policies,international,government,Multinational,Health Science
European Research Council,European Research Council,international,government,EU,Broad
Ferrer Pharmaceuticals,Ferrer Pharmaceuticals,international,business enterprise,Multinational,Health Science
Food and Agriculture Organization of the UN,Food and Agriculture Organization of the UN,international,government,Multinational,Life Sciences
French Institutes,French Institutes,national,higher education,France,Broad
Greece Institutes,Greece Institutes,national,higher education,Greece,Broad
