issued_year,issn,articles,oa
2015,1090-0233,314,13
2015,1090-3798,650,1
2015,1093-3263,150,4
2015,1098-8823,74,0
2015,1270-9638,311,4
2015,1322-7696,59,1
2015,1350-4177,328,2
2015,1350-4533,161,7
2015,1359-6454,792,27
2015,1359-8368,627,4
2015,1364-0321,1152,20
2015,1364-6826,222,3
2015,1366-5545,141,0
2015,1367-9120,487,8
2015,1383-5866,689,1
2015,1386-6532,674,24
2015,1387-1811,536,2
2015,1387-3806,335,13
2015,1387-7003,383,1
2015,1434-8411,263,0
2015,1440-2440,370,2
2015,1476-945X,70,4
2015,1477-8939,128,2
2015,1538-5442,91,0
2015,1547-5271,466,15
2015,1550-7289,690,10
2015,1550-8307,86,2
2015,1555-4155,294,1
2015,1556-407X,78,0
2015,1558-7878,119,3
2015,1566-7367,442,1
2015,1567-5769,502,7
2015,1567-7249,191,6
2015,1568-4946,655,6
2015,1568-9883,105,3
2015,1570-8705,185,1
2015,1571-0645,135,0
2015,1572-1000,269,3
2015,1631-0683,69,0
2015,1740-1445,84,0
2015,1746-8094,143,4
2015,1756-0616,41,0
2015,1775-8785,136,2
2015,1871-1871,41,2
2015,1871-5192,240,2
2015,1874-3900,270,1
2015,1876-3820,263,4
2015,1877-0320,286,0
2015,1879-8500,174,1
2015,1879-9817,43,1
2015,1939-8654,195,1
2015,2152-2650,1015,4
2015,2210-4224,54,5
2015,2212-2672,657,4
2015,2212-4209,138,13
2015,2212-4403,1378,10
2015,2213-2945,313,0
2015,2215-0366,387,29
2015,2352-5800,713,0
2015,0002-9394,440,14
2015,0003-9969,237,1
2015,0008-6223,1061,15
2015,0015-0282,1612,13
2015,0018-506X,153,11
2015,0019-1035,499,27
2015,0022-3476,851,19
2015,0022-3697,277,3
2015,0022-3956,273,8
2015,0022-510X,2114,12
2015,0091-6749,1606,55
2015,0099-1333,150,2
2015,0140-9883,264,5
2015,0141-8130,886,1
2015,0143-4004,653,11
2015,0143-974X,265,2
2015,0163-4453,233,14
2015,0169-555X,489,18
2015,0196-0644,931,4
2015,0254-0584,824,4
2015,0257-8972,870,9
2015,0260-8774,377,8
2015,0261-5606,129,2
2015,0360-1315,238,5
2015,0362-546X,330,0
2015,0377-0257,133,7
2015,0926-5805,155,0
2015,0927-7757,759,3
2015,0956-7135,563,3
2015,0966-6362,645,9
2015,1049-3867,104,0
2015,1052-3057,508,8
2015,1095-6433,205,0
2015,1359-835X,342,16
2015,1360-1385,126,5
2015,1382-6689,275,2
2015,1463-5003,112,9
2015,1551-7144,220,10
2015,1566-1199,463,7
2015,1742-7061,527,23
2015,1875-5100,580,1
2015,2213-3437,349,1
2015,0377-2217,690,13
2015,1878-7789,20,2
2015,1389-5567,26,1
2015,0144-8609,58,4
2015,0169-1317,369,1
2015,1934-1482,592,1
2015,0926-2040,75,2
2015,0022-3115,986,31
2015,0925-8388,3435,12
2015,0304-3932,102,5
