issued_year,issn,articles,oa,scopus_asjc_code_sub_subject_area,scopus_sub_subject_area,percentile,snip,sjr,top_level_code,description,subject_area
2015,0003-2697,337,9,1312,Molecular Biology,51,0.816,0.632,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0003-2697,337,9,1304,Biophysics,75,0.816,0.632,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0003-2697,337,9,1303,Biochemistry,59,0.816,0.632,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0003-2697,337,9,1307,Cell Biology,46,0.816,0.632,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0003-4975,1250,0,2740,Pulmonary and Respiratory Medicine,70,1.341,1.293,27,Medicine,Health Sciences
2015,0003-4975,1250,0,2705,Cardiology and Cardiovascular Medicine,74,1.341,1.293,27,Medicine,Health Sciences
2015,0003-4975,1250,0,2746,Surgery,87,1.341,1.293,27,Medicine,Health Sciences
2015,0003-6870,189,1,3307,Human Factors and Ergonomics,93,2.761,1.243,33,Social Sciences,Social Sciences
2015,0003-6870,189,1,2213,"Safety, Risk, Reliability and Quality",92,2.761,1.243,22,Engineering,Physical Sciences
2015,0003-6870,189,1,3612,"Physical Therapy, Sports Therapy and Rehabilitation",96,2.761,1.243,36,Health Professions,Health Sciences
2015,0003-6870,189,1,2201,Engineering (miscellaneous),90,2.761,1.243,22,Engineering,Physical Sciences
2015,0006-8993,721,29,1312,Molecular Biology,60,0.861,1.132,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0006-8993,721,29,2800,General Neuroscience,65,0.861,1.132,28,Neuroscience,Life Sciences
2015,0006-8993,721,29,2728,Neurology (clinical),77,0.861,1.132,27,Medicine,Health Sciences
2015,0006-8993,721,29,1309,Developmental Biology,69,0.861,1.132,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0007-8506,149,4,2209,Industrial and Manufacturing Engineering,93,3.172,2.544,22,Engineering,Physical Sciences
2015,0007-8506,149,4,2210,Mechanical Engineering,94,3.172,2.544,22,Engineering,Physical Sciences
2015,0008-8846,200,3,2500,General Materials Science,92,3.17,3.686,25,Materials Science,Physical Sciences
2015,0008-8846,200,3,2215,Building and Construction,99,3.17,3.686,22,Engineering,Physical Sciences
2015,0009-2797,348,2,3005,Toxicology,81,1.181,0.896,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
2015,0009-9120,315,12,1308,Clinical Biochemistry,59,1.023,0.781,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0010-0277,218,23,3310,Linguistics and Language,98,1.819,2.33,33,Social Sciences,Social Sciences
2015,0010-0277,218,23,3205,Experimental and Cognitive Psychology,89,1.819,2.33,32,Psychology,Social Sciences
2015,0010-0277,218,23,1203,Language and Linguistics,99,1.819,2.33,12,Arts and Humanities,Social Sciences
2015,0010-0277,218,23,2805,Cognitive Neuroscience,76,1.819,2.33,28,Neuroscience,Life Sciences
2015,0010-0277,218,23,3204,Developmental and Educational Psychology,93,1.819,2.33,32,Psychology,Social Sciences
2015,0010-938X,471,6,1600,General Chemistry,92,2.654,1.971,16,Chemistry,Physical Sciences
2015,0010-938X,471,6,1500,General Chemical Engineering,95,2.654,1.971,15,Chemical Engineering,Physical Sciences
2015,0010-938X,471,6,2500,General Materials Science,92,2.654,1.971,25,Materials Science,Physical Sciences
2015,0010-9452,324,26,2805,Cognitive Neuroscience,82,1.495,2.026,28,Neuroscience,Life Sciences
2015,0010-9452,324,26,3206,Neuropsychology and Physiological Psychology,90,1.495,2.026,32,Psychology,Social Sciences
2015,0010-9452,324,26,3205,Experimental and Cognitive Psychology,92,1.495,2.026,32,Psychology,Social Sciences
2015,0012-821X,626,54,1908,Geophysics,97,1.727,2.942,19,Earth and Planetary Sciences,Physical Sciences
2015,0012-821X,626,54,1912,Space and Planetary Science,86,1.727,2.942,19,Earth and Planetary Sciences,Physical Sciences
2015,0012-821X,626,54,1906,Geochemistry and Petrology,96,1.727,2.942,19,Earth and Planetary Sciences,Physical Sciences
2015,0012-821X,626,54,1901,Earth and Planetary Sciences (miscellaneous),98,1.727,2.942,19,Earth and Planetary Sciences,Physical Sciences
2015,0012-8252,138,11,1900,General Earth and Planetary Sciences,99,4.176,3.75,19,Earth and Planetary Sciences,Physical Sciences
2015,0013-4686,2491,13,1500,General Chemical Engineering,94,1.218,1.467,15,Chemical Engineering,Physical Sciences
2015,0013-4686,2491,13,1603,Electrochemistry,95,1.218,1.467,16,Chemistry,Physical Sciences
2015,0013-7944,538,4,2500,General Materials Science,78,1.832,1.18,25,Materials Science,Physical Sciences
2015,0013-7944,538,4,2210,Mechanical Engineering,85,1.832,1.18,22,Engineering,Physical Sciences
2015,0013-7944,538,4,2211,Mechanics of Materials,83,1.832,1.18,22,Engineering,Physical Sciences
2015,0013-9351,427,33,1303,Biochemistry,88,1.74,1.52,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0013-9351,427,33,2300,General Environmental Science,93,1.74,1.52,23,Environmental Science,Physical Sciences
2015,0014-2999,743,13,3004,Pharmacology,73,0.957,0.988,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
2015,0014-4827,356,16,1307,Cell Biology,53,0.856,1.129,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0014-4894,190,6,2405,Parasitology,58,0.726,0.681,24,Immunology and Microbiology,Life Sciences
2015,0014-4894,190,6,2725,Infectious Diseases,55,0.726,0.681,27,Medicine,Health Sciences
2015,0014-4894,190,6,2403,Immunology,32,0.726,0.681,24,Immunology and Microbiology,Life Sciences
2015,0016-0032,330,1,1711,Signal Processing,78,1.372,1.265,17,Computer Science,Physical Sciences
2015,0016-0032,330,1,2604,Applied Mathematics,95,1.372,1.265,26,Mathematics,Physical Sciences
2015,0016-0032,330,1,2207,Control and Systems Engineering,80,1.372,1.265,22,Engineering,Physical Sciences
2015,0016-0032,330,1,1705,Computer Networks and Communications,83,1.372,1.265,17,Computer Science,Physical Sciences
2015,0016-2361,1228,16,1500,General Chemical Engineering,93,2.138,1.797,15,Chemical Engineering,Physical Sciences
2015,0016-2361,1228,16,1605,Organic Chemistry,94,2.138,1.797,16,Chemistry,Physical Sciences
2015,0016-2361,1228,16,2102,Energy Engineering and Power Technology,93,2.138,1.797,21,Energy,Physical Sciences
2015,0016-2361,1228,16,2103,Fuel Technology,91,2.138,1.797,21,Energy,Physical Sciences
2015,0017-9310,1169,4,3104,Condensed Matter Physics,93,1.962,1.647,31,Physics and Astronomy,Physical Sciences
2015,0017-9310,1169,4,2210,Mechanical Engineering,94,1.962,1.647,22,Engineering,Physical Sciences
2015,0017-9310,1169,4,1507,Fluid Flow and Transfer Processes,96,1.962,1.647,15,Chemical Engineering,Physical Sciences
2015,0019-0578,226,1,2604,Applied Mathematics,97,1.859,1.166,26,Mathematics,Physical Sciences
2015,0019-0578,226,1,2207,Control and Systems Engineering,89,1.859,1.166,22,Engineering,Physical Sciences
2015,0019-0578,226,1,1706,Computer Science Applications,90,1.859,1.166,17,Computer Science,Physical Sciences
2015,0019-0578,226,1,3105,Instrumentation,95,1.859,1.166,31,Physics and Astronomy,Physical Sciences
2015,0019-0578,226,1,2208,Electrical and Electronic Engineering,89,1.859,1.166,22,Engineering,Physical Sciences
2015,0019-1035,499,27,3103,Astronomy and Astrophysics,76,1.285,1.837,31,Physics and Astronomy,Physical Sciences
2015,0019-1035,499,27,1912,Space and Planetary Science,80,1.285,1.837,19,Earth and Planetary Sciences,Physical Sciences
2015,0020-1383,465,7,2711,Emergency Medicine,87,1.486,0.904,27,Medicine,Health Sciences
2015,0020-1383,465,7,2732,Orthopedics and Sports Medicine,80,1.486,0.904,27,Medicine,Health Sciences
2015,0021-9150,1311,29,2705,Cardiology and Cardiovascular Medicine,88,1.173,1.515,27,Medicine,Health Sciences
2015,0021-9673,991,24,1602,Analytical Chemistry,86,1.193,1.129,16,Chemistry,Physical Sciences
2015,0021-9673,991,24,1605,Organic Chemistry,90,1.193,1.129,16,Chemistry,Physical Sciences
2015,0021-9673,991,24,1303,Biochemistry,85,1.193,1.129,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0021-9797,914,18,2508,"Surfaces, Coatings and Films",94,1.522,1.45,25,Materials Science,Physical Sciences
2015,0021-9797,914,18,1505,Colloid and Surface Chemistry,76,1.522,1.45,15,Chemical Engineering,Physical Sciences
2015,0021-9797,914,18,2502,Biomaterials,93,1.522,1.45,25,Materials Science,Physical Sciences
2015,0021-9797,914,18,2504,"Electronic, Optical and Magnetic Materials",92,1.522,1.45,25,Materials Science,Physical Sciences
2015,0021-9975,287,3,2734,Pathology and Forensic Medicine,42,0.855,0.479,27,Medicine,Health Sciences
2015,0021-9975,287,3,3400,General Veterinary,70,0.855,0.479,34,Veterinary,Health Sciences
2015,0022-0981,220,4,1105,"Ecology, Evolution, Behavior and Systematics",82,0.948,0.972,11,Agricultural and Biological Sciences,Life Sciences
2015,0022-0981,220,4,1104,Aquatic Science,85,0.948,0.972,11,Agricultural and Biological Sciences,Life Sciences
2015,0022-1031,119,3,3312,Sociology and Political Science,96,2.203,2.488,33,Social Sciences,Social Sciences
2015,0022-1031,119,3,3207,Social Psychology,92,2.203,2.488,32,Psychology,Social Sciences
2015,0022-1996,81,4,2003,Finance,90,2.868,3.774,20,"Economics, Econometrics and Finance",Social Sciences
2015,0022-1996,81,4,2002,Economics and Econometrics,85,2.868,3.774,20,"Economics, Econometrics and Finance",Social Sciences
2015,0022-2836,332,49,1315,Structural Biology,86,1.319,3.268,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0022-2836,332,49,1312,Molecular Biology,86,1.319,3.268,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0022-2836,332,49,1304,Biophysics,94,1.319,3.268,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0022-2860,928,2,1602,Analytical Chemistry,62,0.918,0.45,16,Chemistry,Physical Sciences
2015,0022-2860,928,2,1605,Organic Chemistry,58,0.918,0.45,16,Chemistry,Physical Sciences
2015,0022-2860,928,2,1604,Inorganic Chemistry,64,0.918,0.45,16,Chemistry,Physical Sciences
2015,0022-2860,928,2,1607,Spectroscopy,56,0.918,0.45,16,Chemistry,Physical Sciences
2015,0022-3115,986,31,2104,Nuclear Energy and Engineering,85,1.359,0.98,21,Energy,Physical Sciences
2015,0022-3115,986,31,2500,General Materials Science,71,1.359,0.98,25,Materials Science,Physical Sciences
2015,0022-3115,986,31,3106,Nuclear and High Energy Physics,76,1.359,0.98,31,Physics and Astronomy,Physical Sciences
2015,0022-328X,524,6,1604,Inorganic Chemistry,57,0.631,0.506,16,Chemistry,Physical Sciences
2015,0022-328X,524,6,1605,Organic Chemistry,55,0.631,0.506,16,Chemistry,Physical Sciences
2015,0022-328X,524,6,1303,Biochemistry,45,0.631,0.506,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0022-328X,524,6,2505,Materials Chemistry,74,0.631,0.506,25,Materials Science,Physical Sciences
2015,0022-328X,524,6,1606,Physical and Theoretical Chemistry,57,0.631,0.506,16,Chemistry,Physical Sciences
2015,0022-3697,277,3,3104,Condensed Matter Physics,74,1.067,0.664,31,Physics and Astronomy,Physical Sciences
2015,0022-3697,277,3,1600,General Chemistry,76,1.067,0.664,16,Chemistry,Physical Sciences
2015,0022-3697,277,3,2500,General Materials Science,71,1.067,0.664,25,Materials Science,Physical Sciences
2015,0022-4804,625,6,2746,Surgery,72,0.932,0.787,27,Medicine,Health Sciences
2015,0022-5193,515,33,2400,General Immunology and Microbiology,63,0.874,0.568,24,Immunology and Microbiology,Life Sciences
2015,0022-5193,515,33,2604,Applied Mathematics,87,0.874,0.568,26,Mathematics,Physical Sciences
2015,0022-5193,515,33,2611,Modeling and Simulation,81,0.874,0.568,26,Mathematics,Physical Sciences
2015,0022-5193,515,33,1100,General Agricultural and Biological Sciences,87,0.874,0.568,11,Agricultural and Biological Sciences,Life Sciences
2015,0022-5193,515,33,2613,Statistics and Probability,89,0.874,0.568,26,Mathematics,Physical Sciences
2015,0022-5193,515,33,1300,"General Biochemistry,Genetics and Molecular Biology",68,0.874,0.568,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
2015,0024-3205,378,1,3000,"General Pharmacology, Toxicology and Pharmaceutics",93,1.088,1.031,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
