issn,subject_area,top_level
0003-2697,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0003-4975,Health Sciences,Medicine
0003-6870,Social Sciences,Social Sciences
0003-6870,Physical Sciences,Engineering
0003-6870,Health Sciences,Health Professions
0006-8993,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0006-8993,Life Sciences,Neuroscience
0006-8993,Health Sciences,Medicine
0007-8506,Physical Sciences,Engineering
0008-8846,Physical Sciences,Materials Science
0008-8846,Physical Sciences,Engineering
0009-2797,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0009-9120,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0010-0277,Social Sciences,Social Sciences
0010-0277,Social Sciences,Psychology
0010-0277,Social Sciences,Arts and Humanities
0010-0277,Life Sciences,Neuroscience
0010-938X,Physical Sciences,Chemistry
0010-938X,Physical Sciences,Chemical Engineering
0010-938X,Physical Sciences,Materials Science
0010-9452,Life Sciences,Neuroscience
0010-9452,Social Sciences,Psychology
0012-821X,Physical Sciences,Earth and Planetary Sciences
0012-8252,Physical Sciences,Earth and Planetary Sciences
0013-4686,Physical Sciences,Chemical Engineering
0013-4686,Physical Sciences,Chemistry
0013-7944,Physical Sciences,Materials Science
0013-7944,Physical Sciences,Engineering
0013-9351,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0013-9351,Physical Sciences,Environmental Science
0014-2999,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0014-4827,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0014-4894,Life Sciences,Immunology and Microbiology
0014-4894,Health Sciences,Medicine
0016-0032,Physical Sciences,Computer Science
0016-0032,Physical Sciences,Mathematics
0016-0032,Physical Sciences,Engineering
0016-2361,Physical Sciences,Chemical Engineering
0016-2361,Physical Sciences,Chemistry
0016-2361,Physical Sciences,Energy
0017-9310,Physical Sciences,Physics and Astronomy
0017-9310,Physical Sciences,Engineering
0017-9310,Physical Sciences,Chemical Engineering
0019-0578,Physical Sciences,Mathematics
0019-0578,Physical Sciences,Engineering
0019-0578,Physical Sciences,Computer Science
0019-0578,Physical Sciences,Physics and Astronomy
0019-1035,Physical Sciences,Physics and Astronomy
0019-1035,Physical Sciences,Earth and Planetary Sciences
0020-1383,Health Sciences,Medicine
0021-9150,Health Sciences,Medicine
0021-9673,Physical Sciences,Chemistry
0021-9673,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0021-9797,Physical Sciences,Materials Science
0021-9797,Physical Sciences,Chemical Engineering
0021-9975,Health Sciences,Medicine
0021-9975,Health Sciences,Veterinary
0022-0981,Life Sciences,Agricultural and Biological Sciences
0022-1031,Social Sciences,Social Sciences
0022-1031,Social Sciences,Psychology
0022-1996,Social Sciences,"Economics, Econometrics and Finance"
0022-2836,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0022-2860,Physical Sciences,Chemistry
0022-3115,Physical Sciences,Energy
0022-3115,Physical Sciences,Materials Science
0022-3115,Physical Sciences,Physics and Astronomy
0022-328X,Physical Sciences,Chemistry
0022-328X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0022-328X,Physical Sciences,Materials Science
0022-3697,Physical Sciences,Physics and Astronomy
0022-3697,Physical Sciences,Chemistry
0022-3697,Physical Sciences,Materials Science
0022-4804,Health Sciences,Medicine
0022-5193,Life Sciences,Immunology and Microbiology
0022-5193,Physical Sciences,Mathematics
0022-5193,Life Sciences,Agricultural and Biological Sciences
0022-5193,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0024-3205,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0024-3205,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0024-4937,Physical Sciences,Earth and Planetary Sciences
0025-5408,Physical Sciences,Engineering
0025-5408,Physical Sciences,Physics and Astronomy
0025-5408,Physical Sciences,Materials Science
0025-6196,Health Sciences,Medicine
0025-7125,Health Sciences,Medicine
0026-2714,Physical Sciences,Engineering
0026-2714,Physical Sciences,Physics and Astronomy
0026-2714,Physical Sciences,Materials Science
0028-3932,Life Sciences,Neuroscience
0028-3932,Social Sciences,Psychology
0030-5898,Health Sciences,Medicine
0031-0182,Physical Sciences,Earth and Planetary Sciences
0031-0182,Life Sciences,Agricultural and Biological Sciences
0031-3203,Physical Sciences,Computer Science
0031-9201,Physical Sciences,Physics and Astronomy
0031-9201,Physical Sciences,Earth and Planetary Sciences
0032-3861,Physical Sciences,Materials Science
0032-3861,Physical Sciences,Chemistry
0032-5910,Physical Sciences,Chemical Engineering
0033-3506,Health Sciences,Medicine
0039-6060,Health Sciences,Medicine
0039-6257,Health Sciences,Medicine
0040-4039,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0040-4039,Physical Sciences,Chemistry
0040-4039,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0041-0101,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0043-1648,Physical Sciences,Materials Science
0043-1648,Physical Sciences,Engineering
0043-1648,Physical Sciences,Physics and Astronomy
0044-8486,Life Sciences,Agricultural and Biological Sciences
0047-2352,Social Sciences,Social Sciences
0047-2352,Social Sciences,Psychology
0047-2484,Life Sciences,Agricultural and Biological Sciences
0047-2484,Social Sciences,Social Sciences
0048-9697,Physical Sciences,Environmental Science
0049-3848,Health Sciences,Medicine
0065-1281,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0065-1281,Health Sciences,Medicine
0093-691X,Health Sciences,Veterinary
0093-691X,Life Sciences,Agricultural and Biological Sciences
0094-5765,Physical Sciences,Engineering
0096-3003,Physical Sciences,Mathematics
0098-1354,Physical Sciences,Chemical Engineering
0098-1354,Physical Sciences,Computer Science
0098-3004,Physical Sciences,Earth and Planetary Sciences
0098-3004,Physical Sciences,Computer Science
0098-8472,Life Sciences,Agricultural and Biological Sciences
0099-1767,Health Sciences,Nursing
0109-5641,Health Sciences,Dentistry
0109-5641,Physical Sciences,Materials Science
0109-5641,Physical Sciences,Engineering
0140-6736,Health Sciences,Medicine
0141-6359,Physical Sciences,Engineering
0142-1123,Physical Sciences,Materials Science
0142-1123,Physical Sciences,Mathematics
0142-1123,Physical Sciences,Engineering
0143-7208,Physical Sciences,Chemical Engineering
0143-974X,Physical Sciences,Engineering
0143-974X,Physical Sciences,Materials Science
0147-6513,Health Sciences,Medicine
0147-6513,Physical Sciences,Environmental Science
0147-9563,Health Sciences,Medicine
0148-2963,Social Sciences,"Business, Management and Accounting"
0149-2918,Health Sciences,Medicine
0149-2918,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0161-5890,Life Sciences,Immunology and Microbiology
0161-5890,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0165-0327,Health Sciences,Medicine
0165-0327,Social Sciences,Psychology
0165-1765,Social Sciences,"Economics, Econometrics and Finance"
0165-2125,Physical Sciences,Mathematics
0165-2125,Physical Sciences,Physics and Astronomy
0165-6147,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0166-0934,Life Sciences,Immunology and Microbiology
0167-2738,Physical Sciences,Materials Science
0167-2738,Physical Sciences,Chemistry
0167-2738,Physical Sciences,Physics and Astronomy
0167-5273,Health Sciences,Medicine
0167-6377,Physical Sciences,Mathematics
0167-6377,Social Sciences,Decision Sciences
0167-6377,Physical Sciences,Engineering
0167-6377,Physical Sciences,Computer Science
0167-6636,Physical Sciences,Materials Science
0167-6636,Physical Sciences,Physics and Astronomy
0167-6636,Physical Sciences,Engineering
0167-7152,Physical Sciences,Mathematics
0167-7152,Social Sciences,Decision Sciences
0167-9260,Physical Sciences,Computer Science
0167-9260,Physical Sciences,Engineering
0168-1702,Health Sciences,Medicine
0168-1702,Life Sciences,Immunology and Microbiology
0168-1702,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0168-1923,Life Sciences,Agricultural and Biological Sciences
0168-1923,Physical Sciences,Environmental Science
0168-1923,Physical Sciences,Earth and Planetary Sciences
0168-583X,Physical Sciences,Physics and Astronomy
0168-9274,Physical Sciences,Mathematics
0168-9525,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0169-2070,Social Sciences,"Business, Management and Accounting"
0169-2607,Physical Sciences,Computer Science
0169-2607,Health Sciences,Medicine
0169-4332,Physical Sciences,Materials Science
0169-4332,Physical Sciences,Physics and Astronomy
0169-4332,Physical Sciences,Chemistry
0190-7409,Social Sciences,Psychology
0190-7409,Social Sciences,Social Sciences
0190-9622,Health Sciences,Medicine
0191-8869,Social Sciences,Psychology
0195-6663,Social Sciences,Psychology
0195-6663,Health Sciences,Nursing
0196-6553,Health Sciences,Medicine
0196-8904,Physical Sciences,Energy
0197-4580,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0197-4580,Health Sciences,Medicine
0197-4580,Life Sciences,Neuroscience
0198-8859,Health Sciences,Medicine
0198-8859,Life Sciences,Immunology and Microbiology
0208-5216,Physical Sciences,Engineering
0223-5234,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0223-5234,Physical Sciences,Chemistry
0257-8972,Physical Sciences,Materials Science
0257-8972,Physical Sciences,Physics and Astronomy
0257-8972,Physical Sciences,Chemistry
0260-6917,Health Sciences,Nursing
0260-6917,Social Sciences,Social Sciences
0263-2241,Physical Sciences,Physics and Astronomy
0263-2241,Physical Sciences,Engineering
0263-8223,Physical Sciences,Materials Science
0263-8223,Physical Sciences,Engineering
0264-8377,Physical Sciences,Environmental Science
0264-8377,Social Sciences,Social Sciences
0264-8377,Life Sciences,Agricultural and Biological Sciences
0264-9993,Social Sciences,"Economics, Econometrics and Finance"
0266-352X,Physical Sciences,Computer Science
0266-352X,Physical Sciences,Earth and Planetary Sciences
0269-7491,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0269-7491,Physical Sciences,Environmental Science
0272-6386,Health Sciences,Medicine
0272-8842,Physical Sciences,Chemical Engineering
0272-8842,Physical Sciences,Materials Science
