issued_year,issn,articles
2019,1001-9294,9
2017,1001-9294,8
2019,0886-3350,387
2015,0001-4575,306
2015,0001-706X,300
2015,0002-8177,182
2015,0002-8703,282
2015,0002-9149,702
2015,0002-9610,371
2015,0002-9629,233
2015,0003-2697,336
2015,0003-3472,320
2015,0003-4509,49
2015,0003-4916,347
2015,0003-4975,1197
2015,0003-682X,225
2015,0003-6870,187
2015,0003-9861,257
2015,0003-9993,327
2015,0005-1098,434
2015,0005-7894,70
2015,0006-291X,1876
2015,0006-2952,275
2015,0006-3223,287
2015,0006-8993,678
2015,0007-4551,150
2015,0007-6813,70
2015,0007-8506,149
2015,0007-9820,72
2015,0008-6215,278
2015,0008-6223,927
2015,0008-8846,198
2015,0009-2541,369
2015,0009-2797,328
2015,0009-3084,82
2015,0009-8981,550
2015,0009-9120,251
2015,0009-9260,203
2015,0010-0277,213
2015,0010-2180,381
2015,0010-4485,129
2015,0010-4655,281
2015,0010-7824,181
2015,0010-938X,465
2015,0010-9452,306
2015,0011-8532,56
2015,0011-9164,394
2015,0012-3692,619
2015,0012-821X,618
2015,0012-8252,136
2015,0013-4686,2321
2015,0013-7944,322
2015,0013-7952,267
2015,0013-9351,409
2015,0014-2565,126
2015,0014-2921,110
2015,0014-2999,733
2015,0014-3057,540
2015,0014-3855,63
2015,0014-4827,331
2015,0014-4835,200
2015,0014-4886,276
2015,0014-4894,189
2015,0014-4983,24
2015,0015-0282,474
2015,0016-0032,314
2015,0016-2361,1214
2015,0016-3287,107
2015,0016-5085,530
2015,0016-5107,389
2015,0016-6480,263
2015,0016-6995,35
2015,0016-7037,420
2015,0016-7061,247
2015,0016-7185,256
2015,0017-9310,1148
2015,0019-0578,224
2015,0019-1035,476
2015,0019-8501,147
2015,0020-0190,187
2015,0020-0255,618
2015,0020-1383,567
2015,0020-1693,495
2015,0020-7403,291
2015,0020-7462,172
2015,0020-7489,194
2015,0021-9150,533
2015,0021-9290,520
2015,0021-9517,287
2015,0021-9614,327
2015,0021-9673,975
2015,0021-9797,887
2015,0021-9924,49
2015,0022-0248,561
2015,0022-0531,169
2015,0022-0736,189
2015,0022-0981,216
2015,0022-1031,113
2015,0022-1139,248
2015,0022-1759,179
2015,0022-1910,131
2015,0022-1996,89
2015,0022-2011,145
2015,0022-2313,577
2015,0022-2828,312
2015,0022-2836,302
2015,0022-2852,152
2015,0022-2860,894
2015,0022-3115,962
2015,0022-328X,512
2015,0022-3468,448
2015,0022-3476,691
2015,0022-3549,434
2015,0022-3697,274
2015,0022-3913,248
2015,0022-3956,268
2015,0022-3999,196
2015,0022-4049,293
2015,0022-4073,283
2015,0022-4596,491
2015,0022-460X,526
2015,0022-4804,595
2015,0022-5096,177
2015,0022-510X,638
2015,0022-5193,487
2015,0023-6438,808
2015,0024-3205,372
2015,0024-3841,126
2015,0024-4937,281
2015,0025-3227,130
2015,0025-326X,679
2015,0025-5408,648
2015,0025-6196,273
2015,0025-7125,77
2015,0025-7753,317
2015,0026-0495,199
2015,0026-265X,174
2015,0026-2692,180
2015,0026-2714,415
2015,0027-5107,119
2015,0027-9684,38
2015,0028-3908,371
2015,0028-3932,396
2015,0029-5493,417
2015,0029-6554,94
2015,0029-8018,532
2015,0030-3992,296
2015,0030-4018,1044
2015,0030-4026,1194
2015,0030-5898,55
2015,0031-0182,421
2015,0031-3025,197
2015,0031-3203,318
2015,0031-4056,28
2015,0031-9201,92
2015,0031-9384,561
2015,0031-9422,283
2015,0032-0633,248
2015,0032-3861,856
2015,0032-5910,755
2015,0033-3182,110
2015,0033-3506,250
2015,0033-8338,91
2015,0034-4257,429
2015,0034-6667,125
2015,0034-7450,37
2015,0034-9356,125
2015,0035-3787,130
2015,0037-0738,136
2015,0038-0717,335
2015,0038-0814,121
2015,0038-092X,586
2015,0038-1098,281
2015,0038-1101,256
2015,0039-128X,219
2015,0039-6028,271
2015,0039-6060,381
2015,0039-6257,55
2015,0039-9140,896
2015,0040-1625,332
2015,0040-1951,339
2015,0040-4020,1089
2015,0040-4039,1582
2015,0040-5957,70
2015,0040-6031,330
2015,0040-6090,957
2015,0041-008X,275
2015,0041-0101,269
2015,0041-1345,655
2015,0041-624X,238
2015,0042-207X,392
2015,0043-1354,655
2015,0043-1648,399
2015,0044-5231,66
2015,0044-8486,406
2015,0045-6535,1220
2015,0045-7825,371
2015,0045-7906,233
2015,0045-7930,331
2015,0045-7949,209
2015,0047-2352,60
2015,0047-2484,149
2015,0047-2727,117
2015,0047-6374,56
2015,0048-3575,124
2015,0048-7120,42
2015,0048-9697,1473
2015,0049-089X,180
2015,0049-3848,452
2015,0065-1281,101
2015,0079-6107,107
2015,0079-6611,196
2015,0090-8258,390
2015,0091-3022,39
2015,0093-691X,388
2015,0093-934X,105
2015,0094-114X,180
2015,0094-1298,53
2015,0094-5765,329
2015,0096-3003,1381
2015,0098-1354,211
2015,0098-3004,184
2015,0098-8472,132
2015,0099-1333,101
2015,0099-1767,135
2015,0109-5641,186
2015,0140-1963,174
2015,0140-1971,148
2015,0140-3664,153
2015,0140-6736,1215
2015,0140-7007,257
2015,0140-9883,262
2015,0141-0229,109
2015,0141-0296,587
2015,0141-3910,292
2015,0141-6359,119
2015,0142-0615,538
2015,0142-1123,251
2015,0142-9612,757
2015,0143-4004,213
2015,0143-6228,221
2015,0143-7208,481
2015,0143-8166,197
2015,0143-974X,261
2015,0145-2126,217
2015,0145-2134,215
2015,0145-305X,199
2015,0146-6380,122
2015,0146-6410,17
2015,0147-1767,89
2015,0147-619X,53
2015,0147-6513,474
2015,0147-9563,106
2015,0148-2963,343
2015,0148-6195,32
2015,0149-1970,277
2015,0149-2918,271
2015,0149-7634,237
2015,0151-9638,179
2015,0160-7383,97
2015,0161-4754,80
2015,0161-5890,378
2015,0161-6420,458
2015,0161-8938,64
2015,0162-0134,219
2015,0163-4453,216
2015,0163-8343,132
2015,0164-1212,181
2015,0165-0114,214
2015,0165-0270,284
2015,0165-0327,735
2015,0165-1684,352
2015,0165-1765,435
2015,0165-1781,731
2015,0165-1889,157
2015,0165-2125,107
2015,0165-232X,145
2015,0165-2370,281
2015,0165-2427,152
2015,0165-5728,217
2015,0165-5876,500
2015,0165-6147,87
2015,0165-7836,289
2015,0166-0934,244
2015,0166-2236,86
2015,0166-4328,647
2015,0166-445X,259
2015,0166-4972,47
2015,0166-5162,164
2015,0166-6851,64
2015,0167-2681,229
